0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Shot Chart Detail,0042100314,256,1628373,Frank Ntilikina,1610612742,Dallas Mavericks,2,4,35,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,199,146,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,258,1630541,Moses Moody,1610612744,Golden State Warriors,2,4,8,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,74,37,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,261,1627814,Damion Lee,1610612744,Golden State Warriors,2,4,3,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,262,1628973,Jalen Brunson,1610612742,Dallas Mavericks,2,3,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-190,164,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,264,201939,Stephen Curry,1610612744,Golden State Warriors,2,3,41,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-101,136,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,277,1629029,Luka Doncic,1610612742,Dallas Mavericks,2,3,30,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-33,34,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,280,203110,Draymond Green,1610612744,Golden State Warriors,2,3,26,Missed Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,33,30,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,287,203110,Draymond Green,1610612744,Golden State Warriors,2,3,11,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,1,32,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,293,203493,Reggie Bullock,1610612742,Dallas Mavericks,2,2,50,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,227,7,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,296,1629029,Luka Doncic,1610612742,Dallas Mavericks,2,2,44,Missed Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-126,64,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,298,201939,Stephen Curry,1610612744,Golden State Warriors,2,2,39,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,91,245,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,300,1629029,Luka Doncic,1610612742,Dallas Mavericks,2,2,32,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,13,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,301,202691,Klay Thompson,1610612744,Golden State Warriors,2,2,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-203,143,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,312,201939,Stephen Curry,1610612744,Golden State Warriors,2,1,49,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-91,43,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,314,1629029,Luka Doncic,1610612742,Dallas Mavericks,2,1,33,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,10,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,315,203952,Andrew Wiggins,1610612744,Golden State Warriors,2,1,20,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-203,163,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,317,203915,Spencer Dinwiddie,1610612742,Dallas Mavericks,2,0,59,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-223,7,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,320,1629029,Luka Doncic,1610612742,Dallas Mavericks,2,0,31,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,15,277,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,327,1629029,Luka Doncic,1610612742,Dallas Mavericks,2,0,1,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,51,6,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,337,1628973,Jalen Brunson,1610612742,Dallas Mavericks,3,11,38,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,98,59,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,339,1626172,Kevon Looney,1610612744,Golden State Warriors,3,11,14,Missed Shot,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-12,22,1,0,20220524,DAL,GSW
