My Circle,My Rank,Circle Ring,User,Circle Person,User rank,User Ring,Is Me,Common
@Saveriorocc,31.,3,@Saveriorocc,@zizzy_data,18.,2,no,no
@Saveriorocc,31.,3,@Saveriorocc,@imagineazhar,19.,2,no,yes
@Saveriorocc,31.,3,@Saveriorocc,@prem_prasann,20.,2,no,yes
@Saveriorocc,31.,3,@Saveriorocc,@vizvithvarun,21.,2,no,yes
@Saveriorocc,31.,3,@Saveriorocc,@flerlagekr,22.,2,no,no
@Saveriorocc,31.,3,@Saveriorocc,@consult_ant,23.,2,no,yes
@Saveriorocc,31.,3,@Saveriorocc,@ScottKimly,24.,2,no,yes
@Saveriorocc,31.,3,@Saveriorocc,@EveThomas1,25.,3,no,no
@Saveriorocc,31.,3,@Saveriorocc,@minttea102,26.,3,no,yes
@Saveriorocc,31.,3,@Saveriorocc,@agatavizz,27.,3,no,no
@Saveriorocc,31.,3,@Saveriorocc,@StyleSTEAMed,28.,3,no,yes
@Saveriorocc,31.,3,@Saveriorocc,@im_akeelah,29.,3,no,no
@Saveriorocc,31.,3,@Saveriorocc,@KevinWee90,30.,3,no,yes
@Saveriorocc,31.,3,@Saveriorocc,@ShijiaWendy,31.,3,no,no
@Saveriorocc,31.,3,@Saveriorocc,@ZachBowders,32.,3,no,yes
@Saveriorocc,31.,3,@Saveriorocc,@maf2k,33.,3,no,yes
@Saveriorocc,31.,3,@Saveriorocc,@KhennieNectar,34.,3,no,no
@Saveriorocc,31.,3,@Saveriorocc,@BMooreWasTaken,35.,3,no,yes
@Saveriorocc,31.,3,@Saveriorocc,@DanDataViz,36.,3,no,yes
@Saveriorocc,31.,3,@Saveriorocc,@ArshiyaShaheen,37.,3,no,no
@Saveriorocc,31.,3,@Saveriorocc,@Rika_Olga_F,38.,3,no,no
@Saveriorocc,31.,3,@Saveriorocc,@ktkilroy,39.,3,no,no
@Saveriorocc,31.,3,@Saveriorocc,@SParsonsDataViz,40.,3,no,no
@Saveriorocc,31.,3,@Saveriorocc,@WJSutton12,41.,3,no,yes
@Saveriorocc,31.,3,@Saveriorocc,@Kamalde00211896,42.,3,no,no
@Saveriorocc,31.,3,@Saveriorocc,@SuglaniNaresh,43.,3,no,no
@Saveriorocc,31.,3,@Saveriorocc,@greenynorfolk,44.,3,no,no
@Saveriorocc,31.,3,@Saveriorocc,@aabattani,45.,3,no,no
@jreevers5,32.,3,@jreevers5,@FlerlageKev,1.,1,no,yes
@jreevers5,32.,3,@jreevers5,@ZachBowders,2.,1,no,yes
@jreevers5,32.,3,@jreevers5,@brrosenau,3.,1,no,yes
@jreevers5,32.,3,@jreevers5,@tableaupublic,4.,1,no,yes
@jreevers5,32.,3,@jreevers5,@sarahlovesdata,5.,1,no,yes
@jreevers5,32.,3,@jreevers5,@tableau,6.,1,no,yes
@jreevers5,32.,3,@jreevers5,@dataunjaded,7.,1,no,no
@jreevers5,32.,3,@jreevers5,@deeVizable,8.,1,no,no
@jreevers5,32.,3,@jreevers5,@analyticvizion,9.,2,no,no
@jreevers5,32.,3,@jreevers5,@VizWhat,10.,2,no,no
@jreevers5,32.,3,@jreevers5,@AdamMico1,11.,2,no,yes
@jreevers5,32.,3,@jreevers5,@Nelsondavis,12.,2,no,no
