50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.060488,,,,,,,,,,,,,6bc18d4e-2c61-43d5-bdb1-9848c0be6afa,3223,,"[69.2, 11.5]",3906390,91,,,,,0.60185856,,Right Foot,,,,"[79.1, 18.3]",,Ground Pass,,12.010412,,,,Jennifer Hermoso Fuentes,,,,,,,2,Regular Play,Teresa Abelleira Dueñas,49835.0,Center Defensive Midfield,174,Spain Women's,863,['9be1ec14-b885-4b76-9c42-474071125ccb'],3,,,,,,,,,,,,,,,Spain Women's,863,00:46:03.200,Pass,
,,,,,,,,,,,,,,,,,,1.016022,,,,,,,,,,,,,e7382c5c-8e29-4ceb-b5ca-29d6a59f20e0,3226,,"[78.8, 18.1]",3906390,91,,,,,-2.5761087,,Left Foot,,,,"[68.4, 11.5]",,Ground Pass,,12.317468,,,,Teresa Abelleira Dueñas,,,,,,,2,Regular Play,Jennifer Hermoso Fuentes,10151.0,Center Forward,174,Spain Women's,863,['394639cb-30f6-4369-b9ac-cbbe630828f0'],4,,,,,,,,,,,,,,,Spain Women's,863,00:46:04.761,Pass,
,,,,,,,,,,,,,,,,,,1.502494,,,,,,,,,,,,,add344f8-5109-4da3-9f2a-1bd56ce2443e,3229,,"[62.9, 9.7]",3906390,91,,,,,2.4312413,,Right Foot,,,,"[48.6, 22.0]",,Ground Pass,,18.862131,,,,Ivana Andrés Sanz,,,,,,,2,Regular Play,Teresa Abelleira Dueñas,49835.0,Center Defensive Midfield,174,Spain Women's,863,['7f4faacd-6166-473e-b7b6-54b0e06e2d51'],6,,,,,,,,,,,,,,,Spain Women's,863,00:46:06.747,Pass,
,,,,,,,,,,,,,,,,,,2.964065,,,,,,,,,,,,,c7bc3812-e3ff-4fe2-81ae-947ec85a1115,3232,,"[46.0, 26.3]",3906390,91,,,,,1.0009042,,Right Foot,,,,"[77.4, 75.3]",,High Pass,,58.197594,,,,Oihane Hernández Zurbano,,,True,,,,2,Regular Play,Ivana Andrés Sanz,49831.0,Right Center Back,174,Spain Women's,863,['4afbf036-b23a-42d1-86ef-10617cff30a7'],9,,,,,,,,,,,,,,,Spain Women's,863,00:46:09.946,Pass,
,,,,,,,,,,,,,,,,,,0.766077,,,,,,,,,,,,,3063a465-916d-42a7-a3fe-a2a9437c950b,3236,,"[75.4, 73.7]",3906390,91,,,,,-1.7818897,,Right Foot,,,,"[73.6, 65.3]",,Ground Pass,,8.5906925,,,,Aitana Bonmati Conca,,,,,,,2,Regular Play,Oihane Hernández Zurbano,49889.0,Right Wing,174,Spain Women's,863,"['7233f38a-ada0-45c2-8241-eece39477227', 'a47f7fc4-6a48-44ce-be37-a61bc2d50661']",15,,,,,,,,,,,,,,,Spain Women's,863,00:46:15.778,Pass,True
,,,,,,,,,,,,,,,,,,1.385794,,,,,,,,,,,,,63d5f305-4976-42e6-86ad-d68e0fc71945,3240,,"[76.3, 67.4]",3906390,91,,,,,0.04430596,42a6f141-e4a6-4425-b81a-d79729b5cf6b,Right Foot,,,,"[96.6, 68.3]",,Ground Pass,,20.31994,,,,Ona Batlle Pascual,True,,,,,,2,Regular Play,Aitana Bonmati Conca,15284.0,Right Center Midfield,174,Spain Women's,863,"['30ac4519-6306-475c-9f2b-bf1f66679ef3', 'b46def0d-effa-420b-9f29-c8f89cf3fa06']",18,,,,,,,,,,,,,,,Spain Women's,863,00:46:18.057,Pass,True
,,,,,,,,,,,,,,,,,,2.085815,,,,,,,,,,,,,69392a89-cace-4cf6-805d-268c4bbef2b7,3248,,"[120.0, 80.0]",3906390,92,,,,,-1.6255361,,Left Foot,,,,"[117.6, 36.2]",,High Pass,True,43.865704,,Unknown,,Irene Paredes Hernandez,,,True,Inswinging,,Corner,2,From Corner,Salma Paralluelo Ayingono,222682.0,Left Wing,175,Spain Women's,863,['54b00ae6-35a7-46e9-b8b5-9321e7621618'],16,,,,,,,,,,,,,,,Spain Women's,863,00:47:16.341,Pass,
,,,,,,,,,,,,,,,,,,1.62641,,,,,,,,,,,,,e101b8f2-67ba-4b1a-9dc3-87f5f9596675,3252,,"[14.6, 51.5]",3906390,92,,,,,-0.73192805,,Right Foot,,,,"[33.3, 34.7]",,Ground Pass,,25.138218,,,,Alex Greenwood,,,,,,Free Kick,2,From Free Kick,Mary Alexandra Earps,31538.0,Goalkeeper,176,England Women's,865,['a4c12d0c-1566-402e-b93a-9f148a44a0b1'],43,,,,,,,,,,,,,,,England Women's,865,00:47:43.805,Pass,
,,,,,,,,,,,,,,,,,,1.339972,,,,,,,,,,,,,e1210335-a980-40b5-a9c4-a559972976b1,3255,,"[36.7, 32.7]",3906390,92,,,,,0.51603407,,Left Foot,,,,"[67.9, 50.4]",,High Pass,,35.871017,,Incomplete,,Millie Bright,,,,,,,2,From Free Kick,Alex Greenwood,10252.0,Left Center Back,176,England Women's,865,"['1fd53771-6129-4b54-8881-daee62efa4ec', '853d9050-de64-42d0-8d77-2811347ff717']",47,,,,,,,,,,,,,,,England Women's,865,00:47:47.726,Pass,
,,,,,,,,,,,,,,,,,,1.522496,,,,,,,,,,,,,7c2c921f-7347-4bef-a449-fbfcab71fc96,3259,,"[54.4, 38.9]",3906390,92,,,,,1.1217108,,Left Foot,,,,"[58.4, 47.2]",,Ground Pass,,9.213577,,,,Aitana Bonmati Conca,,,,,,,2,Regular Play,Alexia Putellas Segura,10143.0,Left Center Midfield,177,Spain Women's,863,['c972692b-e809-4ee6-a4e2-462c339217a6'],50,,,,,,,,,,,,,,,Spain Women's,863,00:47:50.095,Pass,
