GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,42000213,276,1626171,Bobby Portis,1610612749,Milwaukee Bucks,2,3,36,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-25,17,1,1,20210610,MIL,BKN
Shot Chart Detail,42000213,274,1627854,Bryn Forbes,1610612749,Milwaukee Bucks,2,3,36,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-14,252,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,281,202681,Kyrie Irving,1610612751,Brooklyn Nets,2,3,19,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,12,76,102,1,1,20210610,MIL,BKN
Shot Chart Detail,42000213,282,1626171,Bobby Portis,1610612749,Milwaukee Bucks,2,3,3,Made Shot,Cutting Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-18,40,1,1,20210610,MIL,BKN
Shot Chart Detail,42000213,286,203925,Joe Harris,1610612751,Brooklyn Nets,2,2,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-139,236,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,288,1629651,Nicolas Claxton,1610612751,Brooklyn Nets,2,2,39,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,3,16,1,1,20210610,MIL,BKN
Shot Chart Detail,42000213,290,1626171,Bobby Portis,1610612749,Milwaukee Bucks,2,2,31,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,130,22,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,292,201950,Jrue Holiday,1610612749,Milwaukee Bucks,2,2,21,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,235,5,1,1,20210610,MIL,BKN
Shot Chart Detail,42000213,294,201142,Kevin Durant,1610612751,Brooklyn Nets,2,2,9,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-2,95,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,297,203114,Khris Middleton,1610612749,Milwaukee Bucks,2,1,57,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,6,1,1,20210610,MIL,BKN
Shot Chart Detail,42000213,306,203114,Khris Middleton,1610612749,Milwaukee Bucks,2,1,32,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,90,247,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,308,202681,Kyrie Irving,1610612751,Brooklyn Nets,2,1,22,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-56,104,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,310,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,2,1,8,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,51,89,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,312,203925,Joe Harris,1610612751,Brooklyn Nets,2,0,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,144,239,1,1,20210610,MIL,BKN
Shot Chart Detail,42000213,322,203114,Khris Middleton,1610612749,Milwaukee Bucks,2,0,1,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,239,16,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,335,201142,Kevin Durant,1610612751,Brooklyn Nets,3,11,44,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-8,209,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,337,203114,Khris Middleton,1610612749,Milwaukee Bucks,3,11,34,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,8,17,1,1,20210610,MIL,BKN
Shot Chart Detail,42000213,339,202681,Kyrie Irving,1610612751,Brooklyn Nets,3,11,16,Missed Shot,Step Back Bank Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,85,73,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,341,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,3,11,9,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,3,17,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,343,201142,Kevin Durant,1610612751,Brooklyn Nets,3,10,57,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,99,106,1,1,20210610,MIL,BKN
Shot Chart Detail,42000213,344,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,3,10,40,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-54,126,1,1,20210610,MIL,BKN
Shot Chart Detail,42000213,346,201142,Kevin Durant,1610612751,Brooklyn Nets,3,10,27,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,85,147,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,348,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,3,10,17,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,19,12,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,354,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,3,9,49,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,51,28,1,1,20210610,MIL,BKN
Shot Chart Detail,42000213,355,201142,Kevin Durant,1610612751,Brooklyn Nets,3,9,39,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,13,-79,104,1,1,20210610,MIL,BKN
Shot Chart Detail,42000213,356,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,3,9,23,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,100,8,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,358,201142,Kevin Durant,1610612751,Brooklyn Nets,3,9,12,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,74,22,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,360,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,3,8,55,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,9,20,1,1,20210610,MIL,BKN
Shot Chart Detail,42000213,362,202681,Kyrie Irving,1610612751,Brooklyn Nets,3,8,26,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,190,219,1,1,20210610,MIL,BKN
Shot Chart Detail,42000213,363,201950,Jrue Holiday,1610612749,Milwaukee Bucks,3,8,10,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-148,223,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,365,201142,Kevin Durant,1610612751,Brooklyn Nets,3,8,2,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,84,142,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,369,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,3,7,42,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-154,210,1,0,20210610,MIL,BKN
