Region,Life Expectancy - Interpolated,Year,Quadrant Region,African Region,Rank,Country Name
Africa,59,2008,Africa,Western Africa,78,Country 78
Europe,82.059998,2009,Europe,,95,Country 95
Africa,62.529999,2015,Africa,Central Africa,79,Country 79
Eastern Mediterranean,74.959999,2010,Asia and Oceania,,90,Country 90
Western Pacific,82.050003,2005,Asia and Oceania,,80,Country 80
Europe,64.349998,1998,Asia and Oceania,,56,Country 56
Africa,55.66,2004,Africa,Central Africa,103,Country 103
South-East Asia,69.93,2009,Asia and Oceania,,40,Country 40
Americas,80.480003,2006,Americas,,147,Country 147
Eastern Mediterranean,70.220001,2006,Africa,Northern Africa,144,Country 144
Europe,79.379997,2006,Europe,,37,Country 37
Americas,75.550003,2005,Americas,,146,Country 146
Europe,79.5,2010,Europe,,132,Country 132
Eastern Mediterranean,67.010002,2014,Asia and Oceania,,145,Country 145
Africa,52.43,2001,Africa,Central Africa,141,Country 141
Americas,75.879997,2012,Americas,,143,Country 143
Western Pacific,67.370003,2013,Asia and Oceania,,140,Country 140
Americas,78.489998,2011,Americas,,142,Country 142
South-East Asia,71.470001,2013,Asia and Oceania,,40,Country 40
Africa,47.299999,1997,Africa,Eastern Africa,81,Country 81
Africa,55.77,2001,Africa,Central Africa,8,Country 8
Europe,78.309998,2002,Europe,,37,Country 37
Europe,82.269997,2015,Europe,,82,Country 82
Africa,56.450001,2008,Africa,Central Africa,62,Country 62
Americas,57.560001,2003,Americas,,77,Country 77
Western Pacific,80.720001,1999,Asia and Oceania,,80,Country 80
Africa,45.459999,2001,Africa,Southern Africa,65,Country 65
Europe,71.959999,2000,Europe,,64,Country 64
Africa,61.950001,2014,Africa,Eastern Africa,148,Country 148
Europe,76.360001,2010,Europe,,149,Country 149
Europe,80.959999,2015,Europe,,66,Country 66
Africa,52.209999,2000,Africa,Western Africa,122,Country 122
Africa,74.260002,2014,Africa,Eastern Africa,117,Country 117
Americas,74.029999,2011,Americas,,159,Country 159
Eastern Mediterranean,78.629997,2007,Asia and Oceania,,155,Country 155
Europe,78.940002,2008,Europe,,158,Country 158
Africa,44.43,2002,Africa,Central Africa,129,Country 129
Africa,60.880001,2014,Africa,Western Africa,156,Country 156
Europe,73.269997,2008,Europe,,157,Country 157
Americas,72.43,2010,Americas,,153,Country 153
Europe,78.470001,2002,Europe,,111,Country 111
Western Pacific,59,2003,Asia and Oceania,,17,Country 17
Western Pacific,71.220001,2003,Asia and Oceania,,112,Country 112
Africa,59.380001,2013,Africa,Western Africa,114,Country 114
South-East Asia,77.449997,2014,Asia and Oceania,,26,Country 26
Europe,81.139999,2016,Europe,,58,Country 58
Eastern Mediterranean,64.860001,2005,Africa,Northern Africa,22,Country 22
Europe,79.629997,2009,Europe,,24,Country 24
Americas,75.339996,2007,Americas,,109,Country 109
Europe,70.339996,2010,Europe,,23,Country 23
Eastern Mediterranean,75.419998,2014,Asia and Oceania,,163,Country 163
Western Pacific,70.970001,2001,Asia and Oceania,,105,Country 105
Western Pacific,80.629997,2009,Asia and Oceania,,150,Country 150
Europe,72.860001,2005,Europe,,161,Country 161
Americas,77.599998,2012,Americas,,160,Country 160
Western Pacific,57.029999,2000,Asia and Oceania,,17,Country 17
Africa,54.419998,2004,Africa,Western Africa,35,Country 35
Europe,71.809998,2000,Europe,,84,Country 84
Africa,72.610001,2007,Africa,Eastern Africa,139,Country 139
Eastern Mediterranean,75.980003,2004,Asia and Oceania,,60,Country 60
Europe,73.769997,2000,Europe,,61,Country 61
Western Pacific,67.660004,2013,Asia and Oceania,,86,Country 86
Europe,79.419998,1998,Europe,,134,Country 134
Americas,72.150002,2013,Americas,,138,Country 138
Eastern Mediterranean,77.510002,2009,Asia and Oceania,,85,Country 85
Western Pacific,75.050003,2014,Asia and Oceania,,46,Country 46
Americas,69.889999,2002,Americas,,44,Country 44
Americas,75.029999,2003,Americas,,71,Country 71
Europe,74.540001,2012,Europe,,49,Country 49
Africa,51.970001,2004,Africa,Eastern Africa,47,Country 47
Africa,74.419998,2002,Africa,Northern Africa,48,Country 48
Africa,48.82,2000,Africa,Southern Africa,50,Country 50
Africa,51.459999,1998,Africa,Eastern Africa,93,Country 93
Africa,53.830002,2002,Africa,Eastern Africa,68,Country 68
Europe,76.349998,2010,Europe,,67,Country 67
Africa,54.439999,2002,Africa,Central Africa,45,Country 45
Europe,72.029999,2015,Europe,,110,Country 110
Africa,56.860001,2007,Africa,Western Africa,38,Country 38
South-East Asia,69.580002,2009,Asia and Oceania,,27,Country 27
Africa,53.869999,2014,Africa,Western Africa,13,Country 13
Europe,66.540001,2000,Europe,,29,Country 29
Europe,76.529999,2012,Europe,,75,Country 75
Americas,68.300003,2001,Americas,,73,Country 73
Europe,75.029999,2000,Europe,,74,Country 74
Africa,55.599998,2010,Africa,Western Africa,122,Country 122
Africa,51.450001,2003,Africa,Southern Africa,10,Country 10
Africa,72.129997,2004,Africa,Eastern Africa,117,Country 117
Eastern Mediterranean,76.459999,2013,Asia and Oceania,,120,Country 120
Eastern Mediterranean,67.150002,2015,Asia and Oceania,,83,Country 83
Africa,65.739998,2014,Africa,Eastern Africa,119,Country 119
Europe,81.129997,2013,Europe,,118,Country 118
Africa,62.200001,2016,Africa,Eastern Africa,81,Country 81
Americas,77.160004,2003,Americas,,121,Country 121
Europe,79.800003,2009,Europe,,116,Country 116
Africa,60.009998,2001,Africa,Western Africa,113,Country 113
Africa,58.959999,2006,Africa,Central Africa,8,Country 8
Europe,73.849998,1998,Europe,,18,Country 18
South-East Asia,69.230003,2012,Asia and Oceania,,43,Country 43
Americas,77.470001,2001,Americas,,15,Country 15
Africa,60.439999,2006,Africa,Central Africa,11,Country 11
South-East Asia,66.980003,2003,Asia and Oceania,,40,Country 40
Europe,80.68,2012,Europe,,37,Country 37
Africa,61.27,2008,Africa,Western Africa,12,Country 12
Europe,80.139999,2010,Europe,,16,Country 16
Africa,56.84,2005,Africa,Western Africa,78,Country 78
Africa,57.5,2010,Africa,Central Africa,62,Country 62
Africa,56.790001,2010,Africa,Eastern Africa,81,Country 81
Africa,54.389999,2002,Africa,Central Africa,79,Country 79
Western Pacific,82.57,2008,Asia and Oceania,,80,Country 80
Europe,65.75,2007,Asia and Oceania,,53,Country 53
Europe,73.209999,2010,Europe,,51,Country 51
Europe,79.849998,2006,Europe,,66,Country 66
Europe,72.919998,2009,Europe,,64,Country 64
Africa,44.459999,2008,Africa,Southern Africa,65,Country 65
Africa,52.599998,1998,Africa,Western Africa,108,Country 108
Africa,54.349998,2010,Africa,Southern Africa,162,Country 162
Africa,44.369999,2000,Africa,Central Africa,129,Country 129
Europe,79.400002,2000,Europe,,57,Country 57
Eastern Mediterranean,65.559998,2014,Africa,Eastern Africa,59,Country 59
Europe,80.980003,2013,Europe,,58,Country 58
Africa,54.82,1997,Africa,Southern Africa,65,Country 65
Europe,80.480003,2015,Europe,,106,Country 106
Eastern Mediterranean,76.230003,2012,Asia and Oceania,,107,Country 107
Africa,61.369999,2011,Africa,Western Africa,108,Country 108
Europe,69.900002,2011,Europe,,29,Country 29
South-East Asia,67.790001,2002,Asia and Oceania,,27,Country 27
Africa,52.439999,2005,Africa,Western Africa,13,Country 13
Europe,78.169998,2007,Asia and Oceania,,4,Country 4
South-East Asia,63.009998,2004,Asia and Oceania,,36,Country 36
South-East Asia,64.400002,2002,Asia and Oceania,,43,Country 43
Africa,60.279999,2007,Africa,Western Africa,164,Country 164
Western Pacific,61.91,1998,Asia and Oceania,,140,Country 140
Americas,76.129997,2016,Americas,,70,Country 70
Africa,44.59,1999,Africa,Central Africa,129,Country 129
Americas,74.129997,1999,Americas,,143,Country 143
Africa,59.380001,2013,Africa,Western Africa,35,Country 35
Europe,79.440002,1998,Europe,,33,Country 33
Western Pacific,78.550003,2000,Asia and Oceania,,150,Country 150
Americas,73.910004,1999,Americas,,109,Country 109
Eastern Mediterranean,72.760002,2007,Africa,Northern Africa,55,Country 55
Africa,51.98,2010,Africa,Eastern Africa,39,Country 39
Europe,74.18,2012,Europe,,161,Country 161
Eastern Mediterranean,75.220001,2014,Asia and Oceania,,52,Country 52
Africa,54.169998,2003,Africa,Eastern Africa,2,Country 2
Europe,78.580002,2002,Asia and Oceania,,34,Country 34
Americas,76.639999,2005,Americas,,160,Country 160
Europe,70.489998,2006,Europe,,54,Country 54
Europe,73.220001,2013,Europe,,84,Country 84
Africa,50.59,1997,Africa,Eastern Africa,135,Country 135
Europe,77.050003,2013,Europe,,61,Country 61
Eastern Mediterranean,78.339996,2009,Asia and Oceania,,60,Country 60
Western Pacific,59.529999,2000,Asia and Oceania,,86,Country 86
Africa,44.98,1997,Africa,Central Africa,129,Country 129
Eastern Mediterranean,77.110001,2004,Asia and Oceania,,85,Country 85
Africa,51.849998,1999,Africa,Western Africa,35,Country 35
Africa,60.689999,2014,Africa,Southern Africa,162,Country 162
Africa,52.009998,1997,Africa,Western Africa,156,Country 156
Eastern Mediterranean,61.849998,2006,Africa,Eastern Africa,59,Country 59
Europe,81.360001,2008,Europe,,57,Country 57
Europe,78.93,2005,Europe,,58,Country 58
Eastern Mediterranean,68.300003,2016,Africa,Northern Africa,22,Country 22
Africa,51.93,1998,Africa,Central Africa,8,Country 8
Eastern Mediterranean,75.510002,2007,Africa,Northern Africa,32,Country 32
Africa,68.440002,2009,Africa,Central Africa,165,Country 165
Europe,81.290001,2009,Europe,,33,Country 33
Africa,45.099998,1997,Africa,Eastern Africa,39,Country 39
Europe,75.949997,2006,Europe,,18,Country 18
Western Pacific,72.589996,2008,Asia and Oceania,,105,Country 105
Europe,67.300003,2003,Europe,,29,Country 29
Africa,57.380001,2013,Africa,Western Africa,13,Country 13
Americas,78.910004,2016,Americas,,142,Country 142
South-East Asia,69.870003,2010,Asia and Oceania,,27,Country 27
Europe,77.400002,1997,Europe,,118,Country 118
Africa,56.169998,2005,Africa,Western Africa,114,Country 114
Europe,64.709999,2002,Asia and Oceania,,53,Country 53
Western Pacific,74.870003,2011,Asia and Oceania,,112,Country 112
Africa,55.27,1998,Africa,Eastern Africa,119,Country 119
Eastern Mediterranean,62.150002,1999,Asia and Oceania,,83,Country 83
Europe,74.970001,2015,Europe,,51,Country 51
Eastern Mediterranean,72.760002,1997,Asia and Oceania,,120,Country 120
Europe,72.660004,2009,Europe,,84,Country 84
Europe,75.860001,2009,Europe,,61,Country 61
Americas,74.709999,1998,Americas,,133,Country 133
Western Pacific,62.119999,2004,Asia and Oceania,,86,Country 86
Africa,55.34,2005,Africa,Central Africa,62,Country 62
Eastern Mediterranean,76.440002,2000,Asia and Oceania,,85,Country 85
Eastern Mediterranean,80.029999,2013,Asia and Oceania,,60,Country 60
Africa,48.799999,2011,Africa,Southern Africa,65,Country 65
Africa,52.330002,1997,Africa,Western Africa,108,Country 108
Europe,79.599998,2005,Europe,,66,Country 66
Europe,73.269997,2010,Europe,,64,Country 64
Europe,68.989998,1998,Europe,,54,Country 54
Europe,77.050003,2012,Europe,,18,Country 18
Eastern Mediterranean,70.540001,1999,Africa,Northern Africa,55,Country 55
Europe,80.769997,2006,Europe,,33,Country 33
Africa,65.739998,2003,Africa,Central Africa,165,Country 165
Eastern Mediterranean,75.669998,2008,Africa,Northern Africa,32,Country 32
Europe,80.610001,2009,Europe,,111,Country 111
Western Pacific,78.800003,1997,Asia and Oceania,,41,Country 41
Europe,71.639999,2012,Europe,,151,Country 151
Africa,46.560001,2000,Africa,Southern Africa,152,Country 152
Eastern Mediterranean,61.450001,1998,Africa,Northern Africa,22,Country 22
Africa,62.799999,2010,Africa,Central Africa,11,Country 11
Eastern Mediterranean,76.129997,2006,Asia and Oceania,,163,Country 163
Americas,79.860001,2013,Americas,,15,Country 15
Eastern Mediterranean,62.07,1997,Asia and Oceania,,30,Country 30
Africa,59.84,2004,Africa,Western Africa,12,Country 12
Europe,79.489998,2006,Europe,,16,Country 16
Western Pacific,79.709999,2000,Asia and Oceania,,41,Country 41
Eastern Mediterranean,75.959999,2005,Asia and Oceania,,163,Country 163
Europe,80.029999,2010,Europe,,1,Country 1
Western Pacific,74.120003,2014,Asia and Oceania,,105,Country 105
Eastern Mediterranean,75.650002,2004,Asia and Oceania,,163,Country 163
Western Pacific,68.120003,2016,Asia and Oceania,,140,Country 140
Americas,75.169998,2005,Americas,,109,Country 109
Africa,56.48,2010,Africa,Central Africa,141,Country 141
Americas,75.660004,2007,Americas,,143,Country 143
Western Pacific,64.239998,2006,Asia and Oceania,,140,Country 140
Americas,76.519997,2000,Americas,,142,Country 142
Africa,57.380001,1999,Africa,Western Africa,164,Country 164
Americas,75.260002,1999,Americas,,160,Country 160
Africa,46.209999,2003,Africa,Eastern Africa,89,Country 89
Americas,77.32,2003,Americas,,20,Country 20
Americas,73.639999,2001,Americas,,91,Country 91
South-East Asia,63.400002,2003,Asia and Oceania,,92,Country 92
Western Pacific,72.610001,1997,Asia and Oceania,,46,Country 46
Africa,70.160004,2016,Africa,Western Africa,127,Country 127
Europe,70.779999,1999,Europe,,49,Country 49
Africa,63.849998,2013,Africa,Eastern Africa,93,Country 93
Americas,73.940002,2009,Americas,,88,Country 88
Africa,64.480003,2006,Africa,Western Africa,5,Country 5
Europe,68.760002,2010,Asia and Oceania,,19,Country 19
Europe,82.330002,2015,Europe,,94,Country 94
Africa,57.540001,2004,Africa,Western Africa,108,Country 108
Eastern Mediterranean,72.720001,2003,Asia and Oceania,,107,Country 107
Europe,76.82,2000,Europe,,106,Country 106
Africa,52.709999,2008,Africa,Southern Africa,152,Country 152
Americas,77.550003,2011,Americas,,160,Country 160
Western Pacific,81.540001,2014,Asia and Oceania,,150,Country 150
Europe,72.449997,2002,Europe,,161,Country 161
South-East Asia,71.059998,1997,Asia and Oceania,,26,Country 26
Europe,69.169998,2004,Europe,,151,Country 151
Europe,74.470001,1998,Europe,,74,Country 74
Americas,66.989998,1999,Americas,,73,Country 73
South-East Asia,64.279999,1998,Asia and Oceania,,40,Country 40
Africa,60.099998,2014,Africa,Central Africa,62,Country 62
