title,start_time,end_time,description,exercise_title,superset_id,exercise_notes,set_index,set_type,weight_kg,reps,distance_km,duration_seconds,rpe,Date_Use
Evening workout 🏋️,"13 Sep 2023, 18:06","13 Sep 2023, 19:01","",Push Up,,"",1,normal,,12,,,,2023-09-13
Evening workout 🏋️,"13 Sep 2023, 18:06","13 Sep 2023, 19:01","",Push Up,,"",2,normal,,12,,,,2023-09-13
Evening workout 🏋️,"13 Sep 2023, 18:06","13 Sep 2023, 19:01","",Incline Bench Press (Dumbbell),,"",0,normal,17.5,10,,,,2023-09-13
Evening workout 🏋️,"13 Sep 2023, 18:06","13 Sep 2023, 19:01","",Incline Bench Press (Dumbbell),,"",1,normal,20,10,,,,2023-09-13
Evening workout 🏋️,"13 Sep 2023, 18:06","13 Sep 2023, 19:01","",Incline Bench Press (Dumbbell),,"",2,normal,25,10,,,,2023-09-13
Evening workout 🏋️,"13 Sep 2023, 18:06","13 Sep 2023, 19:01","",Lateral Raise (Dumbbell),,"",0,normal,7.5,10,,,,2023-09-13
Evening workout 🏋️,"13 Sep 2023, 18:06","13 Sep 2023, 19:01","",Lateral Raise (Dumbbell),,"",1,normal,12.5,10,,,,2023-09-13
Evening workout 🏋️,"13 Sep 2023, 18:06","13 Sep 2023, 19:01","",Lateral Raise (Dumbbell),,"",2,normal,12.5,12,,,,2023-09-13
Evening workout 🏋️,"13 Sep 2023, 18:06","13 Sep 2023, 19:01","",Bench Press (Dumbbell),,"",0,normal,20,10,,,,2023-09-13
Evening workout 🏋️,"13 Sep 2023, 18:06","13 Sep 2023, 19:01","",Bench Press (Dumbbell),,"",1,normal,25,10,,,,2023-09-13
Evening workout 🏋️,"13 Sep 2023, 18:06","13 Sep 2023, 19:01","",Bench Press (Dumbbell),,"",2,normal,30,10,,,,2023-09-13
Evening workout 🏋️,"13 Sep 2023, 18:06","13 Sep 2023, 19:01","",Lying Leg Raise,,"",0,normal,,10,,,,2023-09-13
Evening workout 🏋️,"13 Sep 2023, 18:06","13 Sep 2023, 19:01","",Lying Leg Raise,,"",1,normal,,10,,,,2023-09-13
Evening workout 🏋️,"13 Sep 2023, 18:06","13 Sep 2023, 19:01","",Lying Leg Raise,,"",2,normal,,10,,,,2023-09-13
Evening workout 🏋️,"13 Sep 2023, 18:06","13 Sep 2023, 19:01","",Shoulder Press (Dumbbell),,"",0,normal,10,10,,,,2023-09-13
Evening workout 🏋️,"13 Sep 2023, 18:06","13 Sep 2023, 19:01","",Shoulder Press (Dumbbell),,"",1,normal,15,10,,,,2023-09-13
Evening workout 🏋️,"13 Sep 2023, 18:06","13 Sep 2023, 19:01","",Shoulder Press (Dumbbell),,"",2,normal,15,10,,,,2023-09-13
Evening workout 🏋️,"13 Sep 2023, 18:06","13 Sep 2023, 19:01","",Hex Press (Dumbbell),,"",0,normal,10,10,,,,2023-09-13
Evening workout 🏋️,"13 Sep 2023, 18:06","13 Sep 2023, 19:01","",Hex Press (Dumbbell),,"",1,normal,15,10,,,,2023-09-13
Evening workout 🏋️,"13 Sep 2023, 18:06","13 Sep 2023, 19:01","",Hex Press (Dumbbell),,"",2,normal,15,10,,,,2023-09-13
Evening workout 🏋️,"13 Sep 2023, 18:06","13 Sep 2023, 19:01","",Plate Front Raise,,"",0,normal,10,10,,,,2023-09-13
Evening workout 🏋️,"13 Sep 2023, 18:06","13 Sep 2023, 19:01","",Plate Front Raise,,"",1,normal,10,10,,,,2023-09-13
Evening workout 🏋️,"13 Sep 2023, 18:06","13 Sep 2023, 19:01","",Plate Front Raise,,"",2,normal,10,10,,,,2023-09-13
Evening workout 🏋️,"13 Sep 2023, 18:06","13 Sep 2023, 19:01","",Crunch (Weighted),,"",0,normal,10,10,,,,2023-09-13
Evening workout 🏋️,"13 Sep 2023, 18:06","13 Sep 2023, 19:01","",Crunch (Weighted),,"",1,normal,10,10,,,,2023-09-13
Evening workout 🏋️,"13 Sep 2023, 18:06","13 Sep 2023, 19:01","",Crunch (Weighted),,"",2,normal,10,10,,,,2023-09-13
Morning workout ☀️,"12 Sep 2023, 06:41","12 Sep 2023, 07:17","",Lying Leg Raise,,"",0,normal,,10,,,,2023-09-12
Morning workout ☀️,"12 Sep 2023, 06:41","12 Sep 2023, 07:17","",Lying Leg Raise,,"",1,normal,,10,,,,2023-09-12
Morning workout ☀️,"12 Sep 2023, 06:41","12 Sep 2023, 07:17","",Lying Leg Raise,,"",2,normal,,10,,,,2023-09-12
Morning workout ☀️,"12 Sep 2023, 06:41","12 Sep 2023, 07:17","",Lying Leg Raise,,"",3,normal,,10,,,,2023-09-12
Morning workout ☀️,"12 Sep 2023, 06:41","12 Sep 2023, 07:17","",Lying Leg Raise,,"",4,normal,,10,,,,2023-09-12
Morning workout ☀️,"12 Sep 2023, 06:41","12 Sep 2023, 07:17","",Squat (Dumbbell),,"",0,normal,20,10,,,,2023-09-12
Morning workout ☀️,"12 Sep 2023, 06:41","12 Sep 2023, 07:17","",Squat (Dumbbell),,"",1,normal,30,10,,,,2023-09-12
Morning workout ☀️,"12 Sep 2023, 06:41","12 Sep 2023, 07:17","",Squat (Dumbbell),,"",2,normal,30,10,,,,2023-09-12
Morning workout ☀️,"12 Sep 2023, 06:41","12 Sep 2023, 07:17","",Squat (Dumbbell),,"",3,normal,30,10,,,,2023-09-12
Morning workout ☀️,"12 Sep 2023, 06:41","12 Sep 2023, 07:17","",Squat (Dumbbell),,"",4,normal,30,10,,,,2023-09-12
Morning workout ☀️,"12 Sep 2023, 06:41","12 Sep 2023, 07:17","",Squat (Dumbbell),,"",5,normal,30,10,,,,2023-09-12
Morning workout ☀️,"12 Sep 2023, 06:41","12 Sep 2023, 07:17","",Bulgarian Split Squat,,"",0,warmup,,10,,,,2023-09-12
Morning workout ☀️,"12 Sep 2023, 06:41","12 Sep 2023, 07:17","",Bulgarian Split Squat,,"",1,normal,20,10,,,,2023-09-12
Morning workout ☀️,"12 Sep 2023, 06:41","12 Sep 2023, 07:17","",Bulgarian Split Squat,,"",2,normal,20,10,,,,2023-09-12
Morning workout ☀️,"12 Sep 2023, 06:41","12 Sep 2023, 07:17","",Bulgarian Split Squat,,"",3,normal,20,10,,,,2023-09-12
Morning workout ☀️,"12 Sep 2023, 06:41","12 Sep 2023, 07:17","",Cable Pull Through,,"",0,normal,22.5,10,,,,2023-09-12
Morning workout ☀️,"12 Sep 2023, 06:41","12 Sep 2023, 07:17","",Cable Pull Through,,"",1,normal,22.5,10,,,,2023-09-12
Morning workout ☀️,"12 Sep 2023, 06:41","12 Sep 2023, 07:17","",Cable Pull Through,,"",2,normal,22.5,10,,,,2023-09-12
