event_use,order ,event_id,event_type,result,success,period_id,timestamp,end_timestamp,ball_state,ball_owning_team,team_id,player_id,coordinates_x,coordinates_y,end_coordinates_x,end_coordinates_y,receiver_player_id,set_piece_type,body_part_type,pass_type,card_type
,,aa19a388-3071-4038-b578-7581da4166c3,CARRY,COMPLETE,TRUE,1,162.585,164.497889,alive,1214,1214,5088,68.15,2.05,73.25,9.35,,,,,
,,925e800e-94ae-49f0-9d59-45207a326751,PASS,COMPLETE,TRUE,1,164.498,165.4934,alive,1214,1214,5088,73.25,9.35,84.55,15.15,5085,,RIGHT_FOOT,,
,,04dcb424-5364-41d6-85f4-1a7d8420cd83,GENERIC:Ball Receipt*,,,1,165.493,,alive,1214,1214,5085,84.55,15.15,,,,,,,
,,9cfc4fe6-0afe-4655-a4ac-9f6889d0328a,CARRY,COMPLETE,TRUE,1,165.493,166.4067,alive,1214,1214,5085,84.55,15.15,88.05,11.95,,,,,
,,826371fa-ad29-49e3-a7f7-7f99db9740b7,PASS,COMPLETE,TRUE,1,166.407,167.526097,alive,1214,1214,5085,88.05,11.95,94.15,2.65,8298,,LEFT_FOOT,,
,,dd39e627-57b7-4b9f-a63b-218342d3e82a,GENERIC:Ball Receipt*,,,1,167.526,,alive,1214,1214,8298,94.15,2.65,,,,,,,
,,f6e8d82c-718b-492c-84f7-c9c197058c67,CARRY,COMPLETE,TRUE,1,167.526,170.766103,alive,1214,1214,8298,94.15,2.65,94.55,2.65,,,,,
,,b925cd93-9cf9-4fe3-a38c-aa76b966c24a,PASS,COMPLETE,TRUE,1,170.766,173.448,alive,1214,1214,8298,94.55,2.65,112.45,15.05,5087,,RIGHT_FOOT,,
,,923c0258-d379-462b-ac30-a306d100a914,GENERIC:Pressure,,,1,171.93,,alive,1214,851,10652,13.85,61.75,,,,,,,
,,c4eb4719-7df2-4ce9-ad00-9221c9eedad8,GENERIC:Ball Receipt*,,,1,173.448,,alive,1214,1214,5087,112.45,15.05,,,,,,,
,,898a767c-f917-4af7-84b0-f0ae1eb9ebe9,CARRY,COMPLETE,TRUE,1,173.448,176.009059,alive,1214,1214,5087,112.45,15.05,115.65,13.65,,,,,
,,df42705b-0208-4825-a468-4c2f1224c132,GENERIC:Dispossessed,,,1,176.009,,alive,1214,1214,5087,115.65,13.65,,,,,,,
,,4f502893-0f76-4886-967e-b75f52cfa02d,GENERIC:Duel,,,1,176.009,,alive,851,851,10652,5.25,67.25,,,,,,,
,,9e99e6fe-cbba-40b0-ab33-edc1814f6567,RECOVERY,,,1,177.731,,alive,851,851,10658,17.05,59.95,,,,,,,
,,cffaf23e-2920-466c-b5ef-2b1b9d949f8a,CARRY,COMPLETE,TRUE,1,177.731,181.626485,alive,851,851,10658,17.05,59.95,44.25,60.25,,,,,
,,98619f75-d11c-4c74-bc6f-784617385513,PASS,COMPLETE,TRUE,1,181.627,182.531233,alive,851,851,10658,44.25,60.25,55.65,49.35,15623,,RIGHT_FOOT,,
,,3c9f9bf6-ea0e-4021-80eb-14828d17bcc2,GENERIC:Ball Receipt*,,,1,182.531,,alive,851,851,15623,55.65,49.35,,,,,,,
,,fefc61e0-8706-4b8c-9018-201565a982aa,CARRY,COMPLETE,TRUE,1,182.531,184.121867,alive,851,851,15623,55.65,49.35,55.65,43.05,,,,,
