Player X,Player Y,player,team,Recipient X,Recipient Y,Recipient,period
38.4666666666667,27.4666666666667,Leah Williamson,"England Women's",35.4142857142857,58.3,Millie Bright,3
34.1,15.8,Leah Williamson,"England Women's",72.46,9.82,Alex Greenwood,4
34.1,15.8,Leah Williamson,"England Women's",42.6,53.04,Millie Bright,4
58.0333333333333,73.2533333333333,Lucy Bronze,"England Women's",94.9625,38.7125,Bethany Mead,1
58.0333333333333,73.2533333333333,Lucy Bronze,"England Women's",92.7333333333333,51.5166666666667,Ellen White,1
58.0333333333333,73.2533333333333,Lucy Bronze,"England Women's",54.6,48.9125,Georgia Stanway,1
58.0333333333333,73.2533333333333,Lucy Bronze,"England Women's",49.13125,34.4875,Keira Walsh,1
58.0333333333333,73.2533333333333,Lucy Bronze,"England Women's",16.8833333333333,42.7333333333333,Mary Alexandra Earps,1
58.0333333333333,73.2533333333333,Lucy Bronze,"England Women's",38.025,58.325,Millie Bright,1
58.9666666666667,67.3733333333333,Lucy Bronze,"England Women's",54.4263157894737,32.9368421052632,Keira Walsh,2
58.9666666666667,67.3733333333333,Lucy Bronze,"England Women's",37.3130434782609,23.5173913043478,Leah Williamson,2
58.9666666666667,67.3733333333333,Lucy Bronze,"England Women's",11.4636363636364,42.4545454545455,Mary Alexandra Earps,2
58.9666666666667,67.3733333333333,Lucy Bronze,"England Women's",32,48.0642857142857,Millie Bright,2
50.92,70.62,Lucy Bronze,"England Women's",61.675,65.15,Jill Scott,3
50.92,70.62,Lucy Bronze,"England Women's",36.6,49.3333333333333,Lauren Hemp,3
50.92,70.62,Lucy Bronze,"England Women's",38.4666666666667,27.4666666666667,Leah Williamson,3
50.92,70.62,Lucy Bronze,"England Women's",35.4142857142857,58.3,Millie Bright,3
78.46,72.85,Lucy Bronze,"England Women's",80.5285714285714,55.0285714285714,Ella Toone,4
78.46,72.85,Lucy Bronze,"England Women's",73.0666666666667,47.3333333333333,Jill Scott,4
78.46,72.85,Lucy Bronze,"England Women's",74.1666666666667,33.2666666666667,Keira Walsh,4
78.46,72.85,Lucy Bronze,"England Women's",11.475,38.325,Mary Alexandra Earps,4
78.46,72.85,Lucy Bronze,"England Women's",42.6,53.04,Millie Bright,4
16.8833333333333,42.7333333333333,Mary Alexandra Earps,"England Women's",42.4285714285714,24.6095238095238,Leah Williamson,1
16.8833333333333,42.7333333333333,Mary Alexandra Earps,"England Women's",58.0333333333333,73.2533333333333,Lucy Bronze,1
16.8833333333333,42.7333333333333,Mary Alexandra Earps,"England Women's",54.0375,11.05,Rachel Daly,1
11.4636363636364,42.4545454545455,Mary Alexandra Earps,"England Women's",50.4,15.025,Chloe Kelly,2
11.4636363636364,42.4545454545455,Mary Alexandra Earps,"England Women's",37.3130434782609,23.5173913043478,Leah Williamson,2
11.4636363636364,42.4545454545455,Mary Alexandra Earps,"England Women's",58.9666666666667,67.3733333333333,Lucy Bronze,2
11.4636363636364,42.4545454545455,Mary Alexandra Earps,"England Women's",32,48.0642857142857,Millie Bright,2
17.9666666666667,41.9666666666667,Mary Alexandra Earps,"England Women's",38.4666666666667,27.4666666666667,Leah Williamson,3
17.9666666666667,41.9666666666667,Mary Alexandra Earps,"England Women's",50.92,70.62,Lucy Bronze,3
17.9666666666667,41.9666666666667,Mary Alexandra Earps,"England Women's",35.4142857142857,58.3,Millie Bright,3
11.475,38.325,Mary Alexandra Earps,"England Women's",42.6,53.04,Millie Bright,4
38.025,58.325,Millie Bright,"England Women's",94.9625,38.7125,Bethany Mead,1
38.025,58.325,Millie Bright,"England Women's",54.6,48.9125,Georgia Stanway,1
38.025,58.325,Millie Bright,"England Women's",49.13125,34.4875,Keira Walsh,1
38.025,58.325,Millie Bright,"England Women's",42.4285714285714,24.6095238095238,Leah Williamson,1
38.025,58.325,Millie Bright,"England Women's",58.0333333333333,73.2533333333333,Lucy Bronze,1
38.025,58.325,Millie Bright,"England Women's",16.8833333333333,42.7333333333333,Mary Alexandra Earps,1
32,48.0642857142857,Millie Bright,"England Women's",54.4263157894737,32.9368421052632,Keira Walsh,2
32,48.0642857142857,Millie Bright,"England Women's",37.3130434782609,23.5173913043478,Leah Williamson,2
32,48.0642857142857,Millie Bright,"England Women's",11.4636363636364,42.4545454545455,Mary Alexandra Earps,2
35.4142857142857,58.3,Millie Bright,"England Women's",56.1615384615385,7.25384615384615,Alex Greenwood,3
35.4142857142857,58.3,Millie Bright,"England Women's",38.4666666666667,27.4666666666667,Leah Williamson,3
35.4142857142857,58.3,Millie Bright,"England Women's",50.92,70.62,Lucy Bronze,3
35.4142857142857,58.3,Millie Bright,"England Women's",17.9666666666667,41.9666666666667,Mary Alexandra Earps,3
42.6,53.04,Millie Bright,"England Women's",80.5285714285714,55.0285714285714,Ella Toone,4
42.6,53.04,Millie Bright,"England Women's",74.1666666666667,33.2666666666667,Keira Walsh,4
42.6,53.04,Millie Bright,"England Women's",34.1,15.8,Leah Williamson,4
42.6,53.04,Millie Bright,"England Women's",78.46,72.85,Lucy Bronze,4
42.6,53.04,Millie Bright,"England Women's",11.475,38.325,Mary Alexandra Earps,4
54.0375,11.05,Rachel Daly,"England Women's",92.7333333333333,51.5166666666667,Ellen White,1
54.0375,11.05,Rachel Daly,"England Women's",54.6,48.9125,Georgia Stanway,1
54.0375,11.05,Rachel Daly,"England Women's",49.13125,34.4875,Keira Walsh,1
54.0375,11.05,Rachel Daly,"England Women's",86.4444444444444,28.4333333333333,Lauren Hemp,1
54.0375,11.05,Rachel Daly,"England Women's",42.4285714285714,24.6095238095238,Leah Williamson,1
54.0375,11.05,Rachel Daly,"England Women's",16.8833333333333,42.7333333333333,Mary Alexandra Earps,1
